   LOG10(FN) FN  Magnitudes: TI11, TI12 ... TI21, TI22 ...
   2.6667551          464.25344          1.0000000    
   2.6730562          471.03824          1.0000000    
   2.6793572          477.92219          1.0000000    
   2.6856582          484.90674          1.0000000    
   2.6919593          491.99337          1.0000000    
   2.6982603          499.18357          1.0000000    
   2.7045613          506.47885          1.0000000    
   2.7108623          513.88074          1.0000000    
   2.7171634          521.39081          1.0000000    
   2.7234644          529.01063          1.0000000    
   2.7297654          536.74182          1.0000000    
   2.7360665          544.58599          1.0000000    
   2.7423675          552.54480          1.0000000    
   2.7486685          560.61992          1.0000000    
   2.7549696          568.81305          1.0000000    
   2.7612706          577.12592          1.0000000    
   2.7675716          585.56028          1.0000000    
   2.7738726          594.11791          1.0000000    
   2.7801737          602.80059          1.0000000    
   2.7864747          611.61018          1.0000000    
   2.7927757          620.54850          1.0000000    
   2.7990768          629.61746          1.0000000    
   2.8053778          638.81895          1.0000000    
   2.8116788          648.15492          1.0000000    
   2.8179799          657.62733          1.0000000    
   2.8242809          667.23817          1.0000000    
   2.8305819          676.98947          1.0000000    
   2.8368829          686.88328          1.0000000    
   2.8431840          696.92168          1.0000000    
   2.8494850          707.10678          1.0000000    
   2.8557860          717.44074          1.0000000    
   2.8620871          727.92572          1.0000000    
   2.8683881          738.56393          1.0000000    
   2.8746891          749.35761          1.0000000    
   2.8809902          760.30904          1.0000000    
   2.8872912          771.42051          1.0000000    
   2.8935922          782.69437          1.0000000    
   2.8998932          794.13300          1.0000000    
   2.9061943          805.73879          1.0000000    
   2.9124953          817.51419          1.0000000    
   2.9187963          829.46169          1.0000000    
   2.9250974          841.58379          1.0000000    
   2.9313984          853.88305          1.0000000    
   2.9376994          866.36205          1.0000000    
   2.9440005          879.02343          1.0000000    
   2.9503015          891.86985          1.0000000    
   2.9566025          904.90401          1.0000000    
   2.9629035          918.12866          1.0000000    
   2.9692046          931.54657          1.0000000    
   2.9755056          945.16058          1.0000000    
   2.9818066          958.97356          1.0000000    
   2.9881077          972.98840          1.0000000    
   2.9944087          987.20806          1.0000000    
   3.0007097          1001.6355          1.0000000    
   3.0070108          1016.2739          1.0000000    
   3.0133118          1031.1261          1.0000000    
   3.0196128          1046.1954          1.0000000    
   3.0259138          1061.4850          1.0000000    
   3.0322149          1076.9979          1.0000000    
   3.0385159          1092.7376          1.0000000    
   3.0448169          1108.7074          1.0000000    
   3.0511180          1124.9105          1.0000000    
   3.0574190          1141.3504          1.0000000    
   3.0637200          1158.0306          1.0000000    
   3.0700211          1174.9545          1.0000000    
   3.0763221          1192.1258          1.0000000    
   3.0826231          1209.5480          1.0000000    
   3.0889241          1227.2249          1.0000000    
   3.0952252          1245.1600          1.0000000    
   3.1015262          1263.3573          1.0000000    
   3.1078272          1281.8206          1.0000000    
   3.1141283          1300.5536          1.0000000    
   3.1204293          1319.5605          1.0000000    
   3.1267303          1338.8451          1.0000000    
   3.1330314          1358.4115          1.0000000    
   3.1393324          1378.2639          1.0000000    
   3.1456334          1398.4064          1.0000000    
   3.1519344          1418.8433          1.0000000    
   3.1582355          1439.5789          1.0000000    
   3.1645365          1460.6175          1.0000000    
   3.1708375          1481.9636          1.0000000    
   3.1771386          1503.6216          1.0000000    
   3.1834396          1525.5962          1.0000000    
   3.1897406          1547.8919          1.0000000    
   3.1960417          1570.5134          1.0000000    
   3.2023427          1593.4656          1.0000000    
   3.2086437          1616.7531          1.0000000    
   3.2149447          1640.3810          1.0000000    
   3.2212458          1664.3543          1.0000000    
   3.2275468          1688.6778          1.0000000    
   3.2338478          1713.3569          1.0000000    
   3.2401489          1738.3966          1.0000000    
   3.2464499          1763.8022          1.0000000    
   3.2527509          1789.5792          1.0000000    
   3.2590520          1815.7329          1.0000000    
   3.2653530          1842.2687          1.0000000    
   3.2716540          1869.1924          1.0000000    
   3.2779550          1896.5096          1.0000000    
   3.2842561          1924.2260          1.0000000    
   3.2905571          1952.3474          1.0000000    
   3.2968581          1980.8798          1.0000000    
   3.3031592          2009.8292          1.0000000    
   3.3094602          2039.2017          1.0000000    
   3.3157612          2069.0035          1.0000000    
   3.3220623          2099.2408          1.0000000    
   3.3283633          2129.9200          1.0000000    
   3.3346643          2161.0475          1.0000000    
   3.3409653          2192.6299          1.0000000    
