   LOG10(FN) FN  Arguments: TI11, TI12 ... TI21, TI22 ... [deg]
   1.2616254          18.265243          0.0000000    
   1.2679265          18.532178          0.0000000    
   1.2742275          18.803015          0.0000000    
   1.2805285          19.077811          0.0000000    
   1.2868296          19.356622          0.0000000    
   1.2931306          19.639508          0.0000000    
   1.2994316          19.926528          0.0000000    
   1.3057327          20.217742          0.0000000    
   1.3120337          20.513213          0.0000000    
   1.3183347          20.813001          0.0000000    
   1.3246357          21.117171          0.0000000    
   1.3309368          21.425787          0.0000000    
   1.3372378          21.738912          0.0000000    
   1.3435388          22.056614          0.0000000    
   1.3498399          22.378958          0.0000000    
   1.3561409          22.706014          0.0000000    
   1.3624419          23.037849          0.0000000    
   1.3687430          23.374534          0.0000000    
   1.3750440          23.716139          0.0000000    
   1.3813450          24.062736          0.0000000    
   1.3876460          24.414399          0.0000000    
   1.3939471          24.771202          0.0000000    
   1.4002481          25.133218          0.0000000    
   1.4065491          25.500526          0.0000000    
   1.4128502          25.873201          0.0000000    
   1.4191512          26.251323          0.0000000    
   1.4254522          26.634971          0.0000000    
   1.4317533          27.024225          0.0000000    
   1.4380543          27.419169          0.0000000    
   1.4443553          27.819884          0.0000000    
   1.4506563          28.226455          0.0000000    
   1.4569574          28.638969          0.0000000    
   1.4632584          29.057510          0.0000000    
   1.4695594          29.482169          0.0000000    
   1.4758605          29.913034          0.0000000    
   1.4821615          30.350196          0.0000000    
   1.4884625          30.793746          0.0000000    
   1.4947636          31.243779          0.0000000    
   1.5010646          31.700388          0.0000000    
   1.5073656          32.163671          0.0000000    
   1.5136666          32.633725          0.0000000    
   1.5199677          33.110647          0.0000000    
   1.5262687          33.594540          0.0000000    
   1.5325697          34.085505          0.0000000    
   1.5388708          34.583645          0.0000000    
   1.5451718          35.089065          0.0000000    
   1.5514728          35.601871          0.0000000    
   1.5577739          36.122172          0.0000000    
   1.5640749          36.650076          0.0000000    
   1.5703759          37.185696          0.0000000    
   1.5766769          37.729143          0.0000000    
   1.5829780          38.280533          0.0000000    
   1.5892790          38.839980          0.0000000    
   1.5955800          39.407604          0.0000000    
   1.6018811          39.983523          0.0000000    
   1.6081821          40.567859          0.0000000    
   1.6144831          41.160735          0.0000000    
   1.6207842          41.762275          0.0000000    
   1.6270852          42.372607          0.0000000    
   1.6333862          42.991858          0.0000000    
   1.6396872          43.620159          0.0000000    
   1.6459883          44.257642          0.0000000    
   1.6522893          44.904442          0.0000000    
   1.6585903          45.560694          0.0000000    
   1.6648914          46.226537          0.0000000    
   1.6711924          46.902111          0.0000000    
   1.6774934          47.587558          0.0000000    
   1.6837945          48.283023          0.0000000    
   1.6900955          48.988651          0.0000000    
   1.6963965          49.704592          0.0000000    
   1.7026975          50.430996          0.0000000    
   1.7089986          51.168015          0.0000000    
   1.7152996          51.915806          0.0000000    
   1.7216006          52.674526          0.0000000    
   1.7279017          53.444333          0.0000000    
   1.7342027          54.225391          0.0000000    
   1.7405037          55.017864          0.0000000    
   1.7468048          55.821918          0.0000000    
   1.7531058          56.637723          0.0000000    
   1.7594068          57.465450          0.0000000    
   1.7657078          58.305274          0.0000000    
   1.7720089          59.157372          0.0000000    
   1.7783099          60.021923          0.0000000    
   1.7846109          60.899108          0.0000000    
   1.7909120          61.789113          0.0000000    
   1.7972130          62.692125          0.0000000    
   1.8035140          63.608334          0.0000000    
   1.8098151          64.537933          0.0000000    
   1.8161161          65.481118          0.0000000    
   1.8224171          66.438086          0.0000000    
   1.8287181          67.409040          0.0000000    
   1.8350192          68.394184          0.0000000    
   1.8413202          69.393725          0.0000000    
   1.8476212          70.407874          0.0000000    
   1.8539223          71.436845          0.0000000    
   1.8602233          72.480853          0.0000000    
   1.8665243          73.540118          0.0000000    
   1.8728254          74.614864          0.0000000    
   1.8791264          75.705317          0.0000000    
   1.8854274          76.811706          0.0000000    
   1.8917284          77.934265          0.0000000    
   1.8980295          79.073229          0.0000000    
   1.9043305          80.228838          0.0000000    
   1.9106315          81.401336          0.0000000    
   1.9169326          82.590969          0.0000000    
   1.9232336          83.797988          0.0000000    
   1.9295346          85.022647          0.0000000    
   1.9358357          86.265204          0.0000000    
   1.9421367          87.525920          0.0000000    
   1.9484377          88.805060          0.0000000    
   1.9547387          90.102895          0.0000000    
   1.9610398          91.419696          0.0000000    
   1.9673408          92.755742          0.0000000    
   1.9736418          94.111313          0.0000000    
   1.9799429          95.486695          0.0000000    
   1.9862439          96.882178          0.0000000    
   1.9925449          98.298055          0.0000000    
   1.9988460          99.734624          0.0000000    
   2.0051470          101.19219          0.0000000    
   2.0114480          102.67105          0.0000000    
   2.0177490          104.17153          0.0000000    
   2.0240501          105.69394          0.0000000    
   2.0303511          107.23859          0.0000000    
   2.0366521          108.80582          0.0000000    
   2.0429532          110.39596          0.0000000    
   2.0492542          112.00933          0.0000000    
   2.0555552          113.64628          0.0000000    
   2.0618563          115.30715          0.0000000    
   2.0681573          116.99230          0.0000000    
   2.0744583          118.70208          0.0000000    
   2.0807593          120.43684          0.0000000    
   2.0870604          122.19695          0.0000000    
   2.0933614          123.98279          0.0000000    
   2.0996624          125.79473          0.0000000    
   2.1059635          127.63314          0.0000000    
   2.1122645          129.49843          0.0000000    
   2.1185655          131.39097          0.0000000    
   2.1248666          133.31117          0.0000000    
   2.1311676          135.25944          0.0000000    
   2.1374686          137.23618          0.0000000    
   2.1437696          139.24180          0.0000000    
   2.1500707          141.27674          0.0000000    
   2.1563717          143.34142          0.0000000    
   2.1626727          145.43627          0.0000000    
   2.1689738          147.56174          0.0000000    
   2.1752748          149.71827          0.0000000    
   2.1815758          151.90631          0.0000000    
   2.1878769          154.12634          0.0000000    
   2.1941779          156.37880          0.0000000    
   2.2004789          158.66419          0.0000000    
   2.2067799          160.98297          0.0000000    
   2.2130810          163.33565          0.0000000    
   2.2193820          165.72270          0.0000000    
