  LOG10(FN)  FN  Calculated  arg(Hphase) H11, H12 ... H21, H22 ... [deg]
  0.61892038          4.1583437         -3.0014180         -3.0001767    
  0.62522141          4.2191155         -3.0436135         -3.0426273    
  0.63152244          4.2807754         -3.0864194         -3.0856898    
  0.63782347          4.3433365         -3.1298443         -3.1293727    
  0.64412450          4.4068118         -3.1738970         -3.1736841    
  0.65042553          4.4712148         -3.2185863         -3.2186327    
  0.65672656          4.5365590         -3.2639212         -3.2642270    
  0.66302759          4.6028582         -3.3099110         -3.3104758    
  0.66932862          4.6701263         -3.3565648         -3.3573880    
  0.67562965          4.7383775         -3.4038921         -3.4049725    
  0.68193068          4.8076261         -3.4519025         -3.4532385    
  0.68823171          4.8778868         -3.5006056         -3.5021952    
  0.69453274          4.9491742         -3.5500112         -3.5518520    
  0.70083377          5.0215035         -3.6001294         -3.6022184    
  0.70713480          5.0948899         -3.6509701         -3.6533040    
  0.71343583          5.1693488         -3.7025437         -3.7051187    
  0.71973686          5.2448958         -3.7548606         -3.7576725    
  0.72603789          5.3215469         -3.8079313         -3.8109752    
  0.73233892          5.3993182         -3.8617664         -3.8650373    
  0.73863995          5.4782261         -3.9163768         -3.9198691    
  0.74494098          5.5582872         -3.9717736         -3.9754812    
  0.75124201          5.6395183         -4.0279679         -4.0318842    
  0.75754304          5.7219366         -4.0849710         -4.0890890    
  0.76384407          5.8055594         -4.1427943         -4.1471066    
  0.77014510          5.8904043         -4.2014496         -4.2059483    
  0.77644613          5.9764891         -4.2609486         -4.2656254    
  0.78274716          6.0638320         -4.3213033         -4.3261495    
  0.78904819          6.1524514         -4.3825259         -4.3875322    
  0.79534922          6.2423659         -4.4446286         -4.4497856    
  0.80165025          6.3335945         -4.5076241         -4.5129216    
  0.80795128          6.4261563         -4.5715249         -4.5769527    
  0.81425231          6.5200708         -4.6363439         -4.6418912    
  0.82055334          6.6153579         -4.7020942         -4.7077498    
  0.82685437          6.7120375         -4.7687889         -4.7745415    
  0.83315540          6.8101300         -4.8364416         -4.8422793    
  0.83945643          6.9096561         -4.9050657         -4.9109765    
  0.84575746          7.0106367         -4.9746752         -4.9806466    
  0.85205849          7.1130931         -5.0452840         -5.0513034    
  0.85835952          7.2170468         -5.1169063         -5.1229608    
  0.86466055          7.3225198         -5.1895565         -5.1956330    
  0.87096158          7.4295342         -5.2632493         -5.2693344    
  0.87726261          7.5381125         -5.3379994         -5.3440796    
  0.88356364          7.6482776         -5.4138218         -5.4198836    
  0.88986467          7.7600528         -5.4907319         -5.4967614    
  0.89616570          7.8734614         -5.5687450         -5.5747283    
  0.90246673          7.9885275         -5.6478769         -5.6538001    
  0.90876776          8.1052752         -5.7281434         -5.7339926    
  0.91506879          8.2237291         -5.8095608         -5.8153219    
  0.92136982          8.3439141         -5.8921452         -5.8978044    
  0.92767085          8.4658555         -5.9759135         -5.9814567    
  0.93397188          8.5895791         -6.0608823         -6.0662958    
  0.94027291          8.7151108         -6.1470687         -6.1523389    
  0.94657394          8.8424771         -6.2344901         -6.2396034    
  0.95287497          8.9717048         -6.3231640         -6.3281070    
  0.95917600          9.1028210         -6.4131083         -6.4178679    
  0.96547703          9.2358535         -6.5043410         -6.5089043    
