   LOG10(FN) FN  Magnitudes: Lamda11, Lamda22 ...
  0.91506879          8.2237291         0.12814148E-11
  0.92136982          8.3439141         0.13178917E-11
  0.92767085          8.4658555         0.13554162E-11
  0.93397188          8.5895791         0.13940186E-11
  0.94027291          8.7151108         0.14337297E-11
  0.94657394          8.8424771         0.14745814E-11
  0.95287497          8.9717048         0.15166066E-11
  0.95917600          9.1028210         0.15598389E-11
  0.96547703          9.2358535         0.16043130E-11
  0.97177806          9.3708301         0.16500647E-11
  0.97807909          9.5077793         0.16971305E-11
  0.98438012          9.6467300         0.17455484E-11
  0.99068115          9.7877114         0.17953572E-11
  0.99698218          9.9307531         0.18465967E-11
   1.0032832          10.075885         0.18993083E-11
   1.0095842          10.223138         0.19535340E-11
   1.0158853          10.372544         0.20093176E-11
   1.0221863          10.524132         0.20667037E-11
   1.0284873          10.677936         0.21257383E-11
   1.0347884          10.833988         0.21864689E-11
   1.0410894          10.992321         0.22489442E-11
   1.0473904          11.152967         0.23132143E-11
   1.0536915          11.315961         0.23793308E-11
   1.0599925          11.481337         0.24473467E-11
   1.0662935          11.649131         0.25173167E-11
   1.0725945          11.819376         0.25892968E-11
   1.0788956          11.992109         0.26633449E-11
   1.0851966          12.167367         0.27395202E-11
   1.0914976          12.345186         0.28178841E-11
   1.0977987          12.525604         0.28984992E-11
   1.1040997          12.708658         0.29814304E-11
   1.1104007          12.894388         0.30667441E-11
   1.1167018          13.082832         0.31545088E-11
   1.1230028          13.274030         0.32447949E-11
   1.1293038          13.468022         0.33376748E-11
   1.1356048          13.664849         0.34332230E-11
   1.1419059          13.864553         0.35315163E-11
   1.1482069          14.067175         0.36326334E-11
   1.1545079          14.272759         0.37366554E-11
   1.1608090          14.481347         0.38436658E-11
   1.1671100          14.692984         0.39537504E-11
   1.1734110          14.907713         0.40669976E-11
   1.1797121          15.125581         0.41834980E-11
   1.1860131          15.346632         0.43033453E-11
   1.1923141          15.570914         0.44266354E-11
   1.1986151          15.798474         0.45534673E-11
   1.2049162          16.029360         0.46839427E-11
   1.2112172          16.263619         0.48181661E-11
   1.2175182          16.501303         0.49562453E-11
   1.2238193          16.742460         0.50982908E-11
   1.2301203          16.987141         0.52444167E-11
   1.2364213          17.235398         0.53947401E-11
   1.2427224          17.487284         0.55493814E-11
   1.2490234          17.742850         0.57084647E-11
   1.2553244          18.002152         0.58721174E-11
   1.2616254          18.265243         0.60404707E-11
   1.2679265          18.532178         0.62136596E-11
   1.2742275          18.803015         0.63918229E-11
   1.2805285          19.077811         0.65751033E-11
   1.2868296          19.356622         0.67636477E-11
   1.2931306          19.639508         0.69576072E-11
   1.2994316          19.926528         0.71571372E-11
   1.3057327          20.217742         0.73623976E-11
