   LOG10(FN) FN  Arguments: Lamda11, Lamda22 ... [deg]
   1.3939471          24.771202          173.23461    
   1.4002481          25.133218          173.26453    
   1.4065491          25.500526          173.29394    
   1.4128502          25.873201          173.32284    
   1.4191512          26.251323          173.35123    
   1.4254522          26.634971          173.37914    
   1.4317533          27.024225          173.40655    
   1.4380543          27.419169          173.43348    
   1.4443553          27.819884          173.45994    
   1.4506563          28.226455          173.48592    
   1.4569574          28.638969          173.51144    
   1.4632584          29.057510          173.53650    
   1.4695594          29.482169          173.56111    
   1.4758605          29.913034          173.58527    
   1.4821615          30.350196          173.60899    
   1.4884625          30.793746          173.63227    
   1.4947636          31.243779          173.65512    
   1.5010646          31.700388          173.67755    
   1.5073656          32.163671          173.69955    
   1.5136666          32.633725          173.72114    
   1.5199677          33.110647          173.74232    
   1.5262687          33.594540          173.76310    
   1.5325697          34.085505          173.78348    
   1.5388708          34.583645          173.80346    
   1.5451718          35.089065          173.82306    
   1.5514728          35.601871          173.84227    
   1.5577739          36.122172          173.86111    
   1.5640749          36.650076          173.87957    
   1.5703759          37.185696          173.89766    
   1.5766769          37.729143          173.91539    
   1.5829780          38.280533          173.93276    
   1.5892790          38.839980          173.94978    
   1.5955800          39.407604          173.96645    
   1.6018811          39.983523          173.98277    
   1.6081821          40.567859          173.99876    
   1.6144831          41.160735          174.01441    
   1.6207842          41.762275          174.02973    
   1.6270852          42.372607          174.04473    
   1.6333862          42.991858          174.05941    
   1.6396872          43.620159          174.07378    
   1.6459883          44.257642          174.08783    
   1.6522893          44.904442          174.10158    
   1.6585903          45.560694          174.11502    
   1.6648914          46.226537          174.12818    
   1.6711924          46.902111          174.14103    
   1.6774934          47.587558          174.15361    
   1.6837945          48.283023          174.16590    
   1.6900955          48.988651          174.17791    
   1.6963965          49.704592          174.18965    
   1.7026975          50.430996          174.20112    
   1.7089986          51.168015          174.21233    
   1.7152996          51.915806          174.22328    
   1.7216006          52.674526          174.23397    
   1.7279017          53.444333          174.24441    
   1.7342027          54.225391          174.25461    
   1.7405037          55.017864          174.26457    
   1.7468048          55.821918          174.27429    
   1.7531058          56.637723          174.28378    
   1.7594068          57.465450          174.29304    
   1.7657078          58.305274          174.30208    
   1.7720089          59.157372          174.31091    
   1.7783099          60.021923          174.31952    
   1.7846109          60.899108          174.32792    
   1.7909120          61.789113          174.33612    
   1.7972130          62.692125          174.34411    
   1.8035140          63.608334          174.35192    
   1.8098151          64.537933          174.35953    
   1.8161161          65.481118          174.36695    
   1.8224171          66.438086          174.37420    
   1.8287181          67.409040          174.38126    
   1.8350192          68.394184          174.38816    
   1.8413202          69.393725          174.39488    
   1.8476212          70.407874          174.40145    
   1.8539223          71.436845          174.40785    
   1.8602233          72.480853          174.41410    
   1.8665243          73.540118          174.42020    
   1.8728254          74.614864          174.42615    
   1.8791264          75.705317          174.43196    
   1.8854274          76.811706          174.43763    
   1.8917284          77.934265          174.44316    
   1.8980295          79.073229          174.44857    
   1.9043305          80.228838          174.45385    
   1.9106315          81.401336          174.45901    
   1.9169326          82.590969          174.46406    
   1.9232336          83.797988          174.46899    
   1.9295346          85.022647          174.47381    
   1.9358357          86.265204          174.47852    
   1.9421367          87.525920          174.48314    
   1.9484377          88.805060          174.48765    
   1.9547387          90.102895          174.49207    
   1.9610398          91.419696          174.49640    
   1.9673408          92.755742          174.50064    
   1.9736418          94.111313          174.50480    
   1.9799429          95.486695          174.50887    
   1.9862439          96.882178          174.51287    
   1.9925449          98.298055          174.51679    
   1.9988460          99.734624          174.52064    
   2.0051470          101.19219          174.52443    
   2.0114480          102.67105          174.52814    
   2.0177490          104.17153          174.53180    
   2.0240501          105.69394          174.53539    
   2.0303511          107.23859          174.53893    
   2.0366521          108.80582          174.54241    
   2.0429532          110.39596          174.54584    
   2.0492542          112.00933          174.54922    
   2.0555552          113.64628          174.55254    
   2.0618563          115.30715          174.55583    
   2.0681573          116.99230          174.55906    
   2.0744583          118.70208          174.56226    
   2.0807593          120.43684          174.56541    
   2.0870604          122.19695          174.56853    
   2.0933614          123.98279          174.57160    
   2.0996624          125.79473          174.57464    
   2.1059635          127.63314          174.57765    
   2.1122645          129.49843          174.58062    
   2.1185655          131.39097          174.58356    
   2.1248666          133.31117          174.58646    
   2.1311676          135.25944          174.58934    
   2.1374686          137.23618          174.59218    
   2.1437696          139.24180          174.59500    
   2.1500707          141.27674          174.59778    
   2.1563717          143.34142          174.60054    
   2.1626727          145.43627          174.60327    
   2.1689738          147.56174          174.60597    
   2.1752748          149.71827          174.60864    
   2.1815758          151.90631          174.61129    
   2.1878769          154.12634          174.61391    
   2.1941779          156.37880          174.61650    
   2.2004789          158.66419          174.61907    
   2.2067799          160.98297          174.62161    
   2.2130810          163.33565          174.62412    
   2.2193820          165.72270          174.62660    
   2.2256830          168.14464          174.62905    
   2.2319841          170.60198          174.63148    
   2.2382851          173.09523          174.63388    
   2.2445861          175.62491          174.63625    
   2.2508872          178.19157          174.63859    
   2.2571882          180.79574          174.64090    
   2.2634892          183.43796          174.64318    
   2.2697902          186.11880          174.64543    
   2.2760913          188.83882          174.64764    
   2.2823923          191.59859          174.64983    
   2.2886933          194.39869          174.65198    
   2.2949944          197.23971          174.65410    
   2.3012954          200.12226          174.65618    
   2.3075964          203.04693          174.65823    
   2.3138975          206.01434          174.66025    
   2.3201985          209.02512          174.66223    
   2.3264995          212.07990          174.66417    
   2.3328005          215.17933          174.66608    
   2.3391016          218.32405          174.66795    
   2.3454026          221.51473          174.66978    
   2.3517036          224.75203          174.67157    
   2.3580047          228.03666          174.67332    
   2.3643057          231.36928          174.67503    
   2.3706067          234.75061          174.67670    
   2.3769078          238.18135          174.67833    
   2.3832088          241.66223          174.67992    
   2.3895098          245.19399          174.68147    
   2.3958108          248.77735          174.68298    
   2.4021119          252.41309          174.68444    
   2.4084129          256.10196          174.68586    
   2.4147139          259.84474          174.68723    
   2.4210150          263.64222          174.68856    
   2.4273160          267.49520          174.68985    
   2.4336170          271.40449          174.69109    
   2.4399181          275.37091          174.69229    
   2.4462191          279.39529          174.69344    
   2.4525201          283.47849          174.69455    
   2.4588211          287.62136          174.69561    
   2.4651222          291.82478          174.69663    
   2.4714232          296.08963          174.69760    
   2.4777242          300.41681          174.69853    
   2.4840253          304.80723          174.69941    
   2.4903263          309.26181          174.70024    
   2.4966273          313.78149          174.70103    
   2.5029284          318.36723          174.70177    
   2.5092294          323.01998          174.70247    
   2.5155304          327.74073          174.70312    
   2.5218314          332.53047          174.70373    
   2.5281325          337.39021          174.70429    
   2.5344335          342.32097          174.70480    
   2.5407345          347.32379          174.70527    
   2.5470356          352.39973          174.70570    
   2.5533366          357.54984          174.70608    
   2.5596376          362.77523          174.70642    
   2.5659387          368.07698          174.70671    
   2.5722397          373.45621          174.70696    
   2.5785407          378.91405          174.70717    
   2.5848417          384.45166          174.70733    
   2.5911428          390.07020          174.70745    
   2.5974438          395.77085          174.70753    
   2.6037448          401.55481          174.70756    
   2.6100459          407.42330          174.70756    
   2.6163469          413.37756          174.70751    
   2.6226479          419.41883          174.70742    
   2.6289490          425.54839          174.70729    
   2.6352500          431.76753          174.70711    
   2.6415510          438.07756          174.70690    
   2.6478520          444.47981          174.70665    
   2.6541531          450.97563          174.70636    
   2.6604541          457.56638          174.70603    
   2.6667551          464.25344          174.70566    
   2.6730562          471.03824          174.70525    
   2.6793572          477.92219          174.70480    
   2.6856582          484.90674          174.70431    
   2.6919593          491.99337          174.70379    
   2.6982603          499.18357          174.70323    
   2.7045613          506.47885          174.70263    
   2.7108623          513.88074          174.70200    
   2.7171634          521.39081          174.70133    
   2.7234644          529.01063          174.70062    
   2.7297654          536.74182          174.69988    
   2.7360665          544.58599          174.69910    
   2.7423675          552.54480          174.69829    
   2.7486685          560.61992          174.69744    
   2.7549696          568.81305          174.69655    
   2.7612706          577.12592          174.69564    
   2.7675716          585.56028          174.69468    
   2.7738726          594.11791          174.69370    
   2.7801737          602.80059          174.69268    
   2.7864747          611.61018          174.69162    
   2.7927757          620.54850          174.69053    
   2.7990768          629.61746          174.68941    
   2.8053778          638.81895          174.68826    
   2.8116788          648.15492          174.68707    
   2.8179799          657.62733          174.68585    
   2.8242809          667.23817          174.68460    
   2.8305819          676.98947          174.68331    
   2.8368829          686.88328          174.68199    
   2.8431840          696.92168          174.68064    
   2.8494850          707.10678          174.67926    
   2.8557860          717.44074          174.67785    
   2.8620871          727.92572          174.67640    
   2.8683881          738.56393          174.67493    
   2.8746891          749.35761          174.67342    
   2.8809902          760.30904          174.67188    
   2.8872912          771.42051          174.67031    
   2.8935922          782.69437          174.66871    
   2.8998932          794.13300          174.66708    
   2.9061943          805.73879          174.66541    
   2.9124953          817.51419          174.66372    
