   LOG10(FN) FN  Magnitudes: Y11, Y12 ... Y21, Y22 ... [mhos]
   1.0851966          12.167367         0.15362520E-07
   1.0914976          12.345186         0.15587034E-07
   1.0977987          12.525604         0.15814830E-07
   1.1040997          12.708658         0.16045954E-07
   1.1104007          12.894388         0.16280456E-07
   1.1167018          13.082832         0.16518386E-07
   1.1230028          13.274030         0.16759792E-07
   1.1293038          13.468022         0.17004727E-07
   1.1356048          13.664849         0.17253241E-07
   1.1419059          13.864553         0.17505387E-07
   1.1482069          14.067175         0.17761218E-07
   1.1545079          14.272759         0.18020788E-07
   1.1608090          14.481347         0.18284152E-07
   1.1671100          14.692984         0.18551364E-07
   1.1734110          14.907713         0.18822481E-07
   1.1797121          15.125581         0.19097561E-07
   1.1860131          15.346632         0.19376661E-07
   1.1923141          15.570914         0.19659839E-07
   1.1986151          15.798474         0.19947156E-07
   1.2049162          16.029360         0.20238673E-07
   1.2112172          16.263619         0.20534449E-07
   1.2175182          16.501303         0.20834548E-07
   1.2238193          16.742460         0.21139033E-07
   1.2301203          16.987141         0.21447968E-07
   1.2364213          17.235398         0.21761417E-07
   1.2427224          17.487284         0.22079448E-07
   1.2490234          17.742850         0.22402126E-07
   1.2553244          18.002152         0.22729520E-07
   1.2616254          18.265243         0.23061699E-07
   1.2679265          18.532178         0.23398732E-07
   1.2742275          18.803015         0.23740691E-07
   1.2805285          19.077811         0.24087647E-07
   1.2868296          19.356622         0.24439674E-07
   1.2931306          19.639508         0.24796846E-07
   1.2994316          19.926528         0.25159237E-07
   1.3057327          20.217742         0.25526925E-07
   1.3120337          20.513213         0.25899986E-07
   1.3183347          20.813001         0.26278500E-07
   1.3246357          21.117171         0.26662545E-07
   1.3309368          21.425787         0.27052202E-07
   1.3372378          21.738912         0.27447554E-07
   1.3435388          22.056614         0.27848684E-07
   1.3498399          22.378958         0.28255677E-07
   1.3561409          22.706014         0.28668617E-07
   1.3624419          23.037849         0.29087592E-07
   1.3687430          23.374534         0.29512691E-07
   1.3750440          23.716139         0.29944001E-07
   1.3813450          24.062736         0.30381616E-07
   1.3876460          24.414399         0.30825625E-07
   1.3939471          24.771202         0.31276124E-07
   1.4002481          25.133218         0.31733206E-07
   1.4065491          25.500526         0.32196969E-07
   1.4128502          25.873201         0.32667509E-07
   1.4191512          26.251323         0.33144925E-07
   1.4254522          26.634971         0.33629319E-07
   1.4317533          27.024225         0.34120792E-07
   1.4380543          27.419169         0.34619448E-07
   1.4443553          27.819884         0.35125391E-07
   1.4506563          28.226455         0.35638728E-07
   1.4569574          28.638969         0.36159567E-07
   1.4632584          29.057510         0.36688018E-07
   1.4695594          29.482169         0.37224192E-07
   1.4758605          29.913034         0.37768202E-07
   1.4821615          30.350196         0.38320163E-07
   1.4884625          30.793746         0.38880190E-07
   1.4947636          31.243779         0.39448401E-07
   1.5010646          31.700388         0.40024916E-07
   1.5073656          32.163671         0.40609857E-07
   1.5136666          32.633725         0.41203347E-07
   1.5199677          33.110647         0.41805510E-07
   1.5262687          33.594540         0.42416473E-07
   1.5325697          34.085505         0.43036365E-07
   1.5388708          34.583645         0.43665317E-07
   1.5451718          35.089065         0.44303460E-07
   1.5514728          35.601871         0.44950929E-07
   1.5577739          36.122172         0.45607861E-07
   1.5640749          36.650076         0.46274393E-07
   1.5703759          37.185696         0.46950667E-07
   1.5766769          37.729143         0.47636823E-07
   1.5829780          38.280533         0.48333008E-07
   1.5892790          38.839980         0.49039367E-07
   1.5955800          39.407604         0.49756049E-07
   1.6018811          39.983523         0.50483204E-07
   1.6081821          40.567859         0.51220987E-07
   1.6144831          41.160735         0.51969552E-07
   1.6207842          41.762275         0.52729057E-07
   1.6270852          42.372607         0.53499661E-07
   1.6333862          42.991858         0.54281528E-07
   1.6396872          43.620159         0.55074821E-07
   1.6459883          44.257642         0.55879707E-07
   1.6522893          44.904442         0.56696357E-07
   1.6585903          45.560694         0.57524941E-07
   1.6648914          46.226537         0.58365635E-07
   1.6711924          46.902111         0.59218615E-07
   1.6774934          47.587558         0.60084060E-07
   1.6837945          48.283023         0.60962154E-07
   1.6900955          48.988651         0.61853081E-07
   1.6963965          49.704592         0.62757027E-07
   1.7026975          50.430996         0.63674185E-07
   1.7089986          51.168015         0.64604746E-07
   1.7152996          51.915806         0.65548907E-07
   1.7216006          52.674526         0.66506866E-07
   1.7279017          53.444333         0.67478825E-07
   1.7342027          54.225391         0.68464989E-07
   1.7405037          55.017864         0.69465565E-07
   1.7468048          55.821918         0.70480764E-07
   1.7531058          56.637723         0.71510800E-07
   1.7594068          57.465450         0.72555888E-07
   1.7657078          58.305274         0.73616251E-07
   1.7720089          59.157372         0.74692109E-07
   1.7783099          60.021923         0.75783691E-07
   1.7846109          60.899108         0.76891226E-07
   1.7909120          61.789113         0.78014946E-07
   1.7972130          62.692125         0.79155089E-07
   1.8035140          63.608334         0.80311895E-07
   1.8098151          64.537933         0.81485607E-07
   1.8161161          65.481118         0.82676472E-07
   1.8224171          66.438086         0.83884740E-07
   1.8287181          67.409040         0.85110667E-07
   1.8350192          68.394184         0.86354510E-07
   1.8413202          69.393725         0.87616531E-07
   1.8476212          70.407874         0.88896996E-07
   1.8539223          71.436845         0.90196174E-07
   1.8602233          72.480853         0.91514338E-07
   1.8665243          73.540118         0.92851767E-07
   1.8728254          74.614864         0.94208742E-07
   1.8791264          75.705317         0.95585548E-07
   1.8854274          76.811706         0.96982475E-07
   1.8917284          77.934265         0.98399818E-07
   1.8980295          79.073229         0.99837874E-07
   1.9043305          80.228838         0.10129695E-06
   1.9106315          81.401336         0.10277734E-06
   1.9169326          82.590969         0.10427937E-06
   1.9232336          83.797988         0.10580336E-06
   1.9295346          85.022647         0.10734961E-06
   1.9358357          86.265204         0.10891846E-06
   1.9421367          87.525920         0.11051024E-06
   1.9484377          88.805060         0.11212529E-06
   1.9547387          90.102895         0.11376393E-06
   1.9610398          91.419696         0.11542653E-06
   1.9673408          92.755742         0.11711342E-06
   1.9736418          94.111313         0.11882496E-06
   1.9799429          95.486695         0.12056152E-06
   1.9862439          96.882178         0.12232346E-06
   1.9925449          98.298055         0.12411114E-06
   1.9988460          99.734624         0.12592495E-06
   2.0051470          101.19219         0.12776527E-06
   2.0114480          102.67105         0.12963249E-06
   2.0177490          104.17153         0.13152699E-06
   2.0240501          105.69394         0.13344918E-06
   2.0303511          107.23859         0.13539947E-06
   2.0366521          108.80582         0.13737825E-06
   2.0429532          110.39596         0.13938595E-06
   2.0492542          112.00933         0.14142300E-06
   2.0555552          113.64628         0.14348981E-06
   2.0618563          115.30715         0.14558683E-06
   2.0681573          116.99230         0.14771450E-06
   2.0744583          118.70208         0.14987326E-06
   2.0807593          120.43684         0.15206357E-06
   2.0870604          122.19695         0.15428589E-06
   2.0933614          123.98279         0.15654069E-06
   2.0996624          125.79473         0.15882844E-06
   2.1059635          127.63314         0.16114963E-06
   2.1122645          129.49843         0.16350474E-06
   2.1185655          131.39097         0.16589427E-06
   2.1248666          133.31117         0.16831871E-06
   2.1311676          135.25944         0.17077859E-06
   2.1374686          137.23618         0.17327442E-06
   2.1437696          139.24180         0.17580673E-06
   2.1500707          141.27674         0.17837604E-06
   2.1563717          143.34142         0.18098290E-06
   2.1626727          145.43627         0.18362786E-06
   2.1689738          147.56174         0.18631148E-06
   2.1752748          149.71827         0.18903431E-06
   2.1815758          151.90631         0.19179694E-06
   2.1878769          154.12634         0.19459994E-06
   2.1941779          156.37880         0.19744391E-06
   2.2004789          158.66419         0.20032943E-06
   2.2067799          160.98297         0.20325713E-06
   2.2130810          163.33565         0.20622762E-06
   2.2193820          165.72270         0.20924151E-06
   2.2256830          168.14464         0.21229946E-06
   2.2319841          170.60198         0.21540209E-06
   2.2382851          173.09523         0.21855007E-06
   2.2445861          175.62491         0.22174405E-06
   2.2508872          178.19157         0.22498471E-06
   2.2571882          180.79574         0.22827273E-06
   2.2634892          183.43796         0.23160880E-06
   2.2697902          186.11880         0.23499363E-06
   2.2760913          188.83882         0.23842793E-06
   2.2823923          191.59859         0.24191241E-06
   2.2886933          194.39869         0.24544782E-06
   2.2949944          197.23971         0.24903490E-06
   2.3012954          200.12226         0.25267440E-06
   2.3075964          203.04693         0.25636709E-06
   2.3138975          206.01434         0.26011375E-06
   2.3201985          209.02512         0.26391516E-06
   2.3264995          212.07990         0.26777212E-06
   2.3328005          215.17933         0.27168546E-06
   2.3391016          218.32405         0.27565598E-06
   2.3454026          221.51473         0.27968454E-06
   2.3517036          224.75203         0.28377196E-06
   2.3580047          228.03666         0.28791912E-06
   2.3643057          231.36928         0.29212690E-06
   2.3706067          234.75061         0.29639616E-06
   2.3769078          238.18135         0.30072782E-06
   2.3832088          241.66223         0.30512278E-06
   2.3895098          245.19399         0.30958197E-06
   2.3958108          248.77735         0.31410633E-06
   2.4021119          252.41309         0.31869682E-06
   2.4084129          256.10196         0.32335438E-06
   2.4147139          259.84474         0.32808002E-06
   2.4210150          263.64222         0.33287472E-06
   2.4273160          267.49520         0.33773949E-06
   2.4336170          271.40449         0.34267536E-06
   2.4399181          275.37091         0.34768336E-06
