   LOG10(FN) FN  Calc. Arg.: Z11, Z12 ... Z21, Z22 ... [deg]
   1.5262687          33.594540          83.763100    
   1.5325697          34.085505          83.783478    
   1.5388708          34.583645          83.803463    
   1.5451718          35.089065          83.823059    
   1.5514728          35.601871          83.842271    
   1.5577739          36.122172          83.861106    
   1.5640749          36.650076          83.879567    
   1.5703759          37.185696          83.897660    
   1.5766769          37.729143          83.915389    
   1.5829780          38.280533          83.932760    
   1.5892790          38.839980          83.949778    
   1.5955800          39.407604          83.966447    
   1.6018811          39.983523          83.982773    
   1.6081821          40.567859          83.998759    
   1.6144831          41.160735          84.014411    
   1.6207842          41.762275          84.029735    
   1.6270852          42.372607          84.044733    
   1.6333862          42.991858          84.059412    
   1.6396872          43.620159          84.073776    
   1.6459883          44.257642          84.087829    
   1.6522893          44.904442          84.101577    
   1.6585903          45.560694          84.115024    
   1.6648914          46.226537          84.128175    
   1.6711924          46.902111          84.141034    
   1.6774934          47.587558          84.153607    
   1.6837945          48.283023          84.165897    
   1.6900955          48.988651          84.177909    
   1.6963965          49.704592          84.189649    
   1.7026975          50.430996          84.201120    
   1.7089986          51.168015          84.212327    
   1.7152996          51.915806          84.223275    
   1.7216006          52.674526          84.233969    
   1.7279017          53.444333          84.244413    
   1.7342027          54.225391          84.254611    
   1.7405037          55.017864          84.264569    
   1.7468048          55.821918          84.274291    
   1.7531058          56.637723          84.283781    
   1.7594068          57.465450          84.293044    
   1.7657078          58.305274          84.302085    
   1.7720089          59.157372          84.310908    
   1.7783099          60.021923          84.319518    
   1.7846109          60.899108          84.327919    
   1.7909120          61.789113          84.336116    
   1.7972130          62.692125          84.344113    
   1.8035140          63.608334          84.351915    
   1.8098151          64.537933          84.359527    
   1.8161161          65.481118          84.366953    
   1.8224171          66.438086          84.374197    
   1.8287181          67.409040          84.381264    
   1.8350192          68.394184          84.388159    
   1.8413202          69.393725          84.394885    
   1.8476212          70.407874          84.401447    
   1.8539223          71.436845          84.407850    
   1.8602233          72.480853          84.414099    
   1.8665243          73.540118          84.420196    
   1.8728254          74.614864          84.426147    
   1.8791264          75.705317          84.431956    
   1.8854274          76.811706          84.437627    
   1.8917284          77.934265          84.443164    
   1.8980295          79.073229          84.448572    
   1.9043305          80.228838          84.453854    
