   LOG10(FN) FN  Calc. Mag.: Z11, Z12 ... Z21, Z22 ... [ohms]
  0.98438012          9.6467300         0.14331311E-03
  0.99068115          9.7877114         0.14527934E-03
  0.99698218          9.9307531         0.14727330E-03
   1.0032832          10.075885         0.14929539E-03
   1.0095842          10.223138         0.15134598E-03
   1.0158853          10.372544         0.15342547E-03
   1.0221863          10.524132         0.15553426E-03
   1.0284873          10.677936         0.15767274E-03
   1.0347884          10.833988         0.15984133E-03
   1.0410894          10.992321         0.16204045E-03
   1.0473904          11.152967         0.16427051E-03
   1.0536915          11.315961         0.16653193E-03
   1.0599925          11.481337         0.16882516E-03
   1.0662935          11.649131         0.17115063E-03
   1.0725945          11.819376         0.17350877E-03
   1.0788956          11.992109         0.17590006E-03
   1.0851966          12.167367         0.17832493E-03
   1.0914976          12.345186         0.18078385E-03
   1.0977987          12.525604         0.18327730E-03
   1.1040997          12.708658         0.18580574E-03
   1.1104007          12.894388         0.18836966E-03
   1.1167018          13.082832         0.19096955E-03
   1.1230028          13.274030         0.19360591E-03
   1.1293038          13.468022         0.19627923E-03
   1.1356048          13.664849         0.19899003E-03
   1.1419059          13.864553         0.20173883E-03
   1.1482069          14.067175         0.20452614E-03
   1.1545079          14.272759         0.20735249E-03
   1.1608090          14.481347         0.21021844E-03
   1.1671100          14.692984         0.21312451E-03
   1.1734110          14.907713         0.21607128E-03
   1.1797121          15.125581         0.21905928E-03
   1.1860131          15.346632         0.22208911E-03
   1.1923141          15.570914         0.22516132E-03
   1.1986151          15.798474         0.22827651E-03
   1.2049162          16.029360         0.23143527E-03
   1.2112172          16.263619         0.23463820E-03
   1.2175182          16.501303         0.23788590E-03
   1.2238193          16.742460         0.24117900E-03
   1.2301203          16.987141         0.24451812E-03
   1.2364213          17.235398         0.24790390E-03
   1.2427224          17.487284         0.25133697E-03
   1.2490234          17.742850         0.25481799E-03
   1.2553244          18.002152         0.25834762E-03
   1.2616254          18.265243         0.26192653E-03
   1.2679265          18.532178         0.26555540E-03
   1.2742275          18.803015         0.26923491E-03
   1.2805285          19.077811         0.27296577E-03
   1.2868296          19.356622         0.27674868E-03
   1.2931306          19.639508         0.28058436E-03
   1.2994316          19.926528         0.28447353E-03
   1.3057327          20.217742         0.28841694E-03
   1.3120337          20.513213         0.29241532E-03
   1.3183347          20.813001         0.29646943E-03
   1.3246357          21.117171         0.30058005E-03
   1.3309368          21.425787         0.30474794E-03
   1.3372378          21.738912         0.30897390E-03
   1.3435388          22.056614         0.31325873E-03
   1.3498399          22.378958         0.31760322E-03
   1.3561409          22.706014         0.32200821E-03
   1.3624419          23.037849         0.32647453E-03
   1.3687430          23.374534         0.33100302E-03
   1.3750440          23.716139         0.33559453E-03
   1.3813450          24.062736         0.34024993E-03
   1.3876460          24.414399         0.34497009E-03
   1.3939471          24.771202         0.34975591E-03
   1.4002481          25.133218         0.35460829E-03
   1.4065491          25.500526         0.35952814E-03
   1.4128502          25.873201         0.36451638E-03
   1.4191512          26.251323         0.36957396E-03
   1.4254522          26.634971         0.37470182E-03
   1.4317533          27.024225         0.37990093E-03
   1.4380543          27.419169         0.38517227E-03
   1.4443553          27.819884         0.39051683E-03
   1.4506563          28.226455         0.39593560E-03
   1.4569574          28.638969         0.40142961E-03
   1.4632584          29.057510         0.40699988E-03
   1.4695594          29.482169         0.41264747E-03
   1.4758605          29.913034         0.41837342E-03
   1.4821615          30.350196         0.42417882E-03
   1.4884625          30.793746         0.43006474E-03
   1.4947636          31.243779         0.43603229E-03
   1.5010646          31.700388         0.44208258E-03
   1.5073656          32.163671         0.44821675E-03
   1.5136666          32.633725         0.45443594E-03
   1.5199677          33.110647         0.46074131E-03
   1.5262687          33.594540         0.46713404E-03
   1.5325697          34.085505         0.47361532E-03
   1.5388708          34.583645         0.48018637E-03
   1.5451718          35.089065         0.48684839E-03
   1.5514728          35.601871         0.49360265E-03
   1.5577739          36.122172         0.50045038E-03
   1.5640749          36.650076         0.50739287E-03
   1.5703759          37.185696         0.51443142E-03
   1.5766769          37.729143         0.52156731E-03
   1.5829780          38.280533         0.52880189E-03
   1.5892790          38.839980         0.53613650E-03
   1.5955800          39.407604         0.54357249E-03
   1.6018811          39.983523         0.55111125E-03
   1.6081821          40.567859         0.55875417E-03
   1.6144831          41.160735         0.56650268E-03
   1.6207842          41.762275         0.57435820E-03
   1.6270852          42.372607         0.58232219E-03
   1.6333862          42.991858         0.59039612E-03
   1.6396872          43.620159         0.59858149E-03
   1.6459883          44.257642         0.60687982E-03
   1.6522893          44.904442         0.61529263E-03
   1.6585903          45.560694         0.62382148E-03
   1.6648914          46.226537         0.63246794E-03
   1.6711924          46.902111         0.64123362E-03
   1.6774934          47.587558         0.65012012E-03
   1.6837945          48.283023         0.65912909E-03
   1.6900955          48.988651         0.66826218E-03
   1.6963965          49.704592         0.67752109E-03
   1.7026975          50.430996         0.68690751E-03
   1.7089986          51.168015         0.69642318E-03
   1.7152996          51.915806         0.70606985E-03
   1.7216006          52.674526         0.71584928E-03
   1.7279017          53.444333         0.72576330E-03
   1.7342027          54.225391         0.73581370E-03
   1.7405037          55.017864         0.74600236E-03
   1.7468048          55.821918         0.75633113E-03
   1.7531058          56.637723         0.76680192E-03
   1.7594068          57.465450         0.77741666E-03
   1.7657078          58.305274         0.78817728E-03
   1.7720089          59.157372         0.79908579E-03
   1.7783099          60.021923         0.81014416E-03
   1.7846109          60.899108         0.82135445E-03
   1.7909120          61.789113         0.83271870E-03
   1.7972130          62.692125         0.84423902E-03
   1.8035140          63.608334         0.85591750E-03
   1.8098151          64.537933         0.86775631E-03
   1.8161161          65.481118         0.87975762E-03
   1.8224171          66.438086         0.89192362E-03
   1.8287181          67.409040         0.90425657E-03
   1.8350192          68.394184         0.91675873E-03
   1.8413202          69.393725         0.92943239E-03
   1.8476212          70.407874         0.94227989E-03
   1.8539223          71.436845         0.95530359E-03
   1.8602233          72.480853         0.96850590E-03
   1.8665243          73.540118         0.98188923E-03
   1.8728254          74.614864         0.99545606E-03
   1.8791264          75.705317         0.10092089E-02
   1.8854274          76.811706         0.10231502E-02
   1.8917284          77.934265         0.10372827E-02
   1.8980295          79.073229         0.10516089E-02
   1.9043305          80.228838         0.10661314E-02
   1.9106315          81.401336         0.10808529E-02
   1.9169326          82.590969         0.10957762E-02
   1.9232336          83.797988         0.11109041E-02
   1.9295346          85.022647         0.11262392E-02
   1.9358357          86.265204         0.11417845E-02
   1.9421367          87.525920         0.11575428E-02
   1.9484377          88.805060         0.11735171E-02
   1.9547387          90.102895         0.11897103E-02
   1.9610398          91.419696         0.12061254E-02
   1.9673408          92.755742         0.12227655E-02
   1.9736418          94.111313         0.12396336E-02
   1.9799429          95.486695         0.12567329E-02
   1.9862439          96.882178         0.12740666E-02
   1.9925449          98.298055         0.12916379E-02
   1.9988460          99.734624         0.13094500E-02
   2.0051470          101.19219         0.13275064E-02
   2.0114480          102.67105         0.13458103E-02
   2.0177490          104.17153         0.13643652E-02
   2.0240501          105.69394         0.13831746E-02
   2.0303511          107.23859         0.14022419E-02
   2.0366521          108.80582         0.14215707E-02
   2.0429532          110.39596         0.14411647E-02
   2.0492542          112.00933         0.14610274E-02
   2.0555552          113.64628         0.14811627E-02
   2.0618563          115.30715         0.15015744E-02
   2.0681573          116.99230         0.15222661E-02
   2.0744583          118.70208         0.15432419E-02
   2.0807593          120.43684         0.15645056E-02
   2.0870604          122.19695         0.15860613E-02
   2.0933614          123.98279         0.16079130E-02
   2.0996624          125.79473         0.16300648E-02
   2.1059635          127.63314         0.16525209E-02
   2.1122645          129.49843         0.16752855E-02
   2.1185655          131.39097         0.16983629E-02
   2.1248666          133.31117         0.17217574E-02
   2.1311676          135.25944         0.17454735E-02
   2.1374686          137.23618         0.17695156E-02
   2.1437696          139.24180         0.17938882E-02
   2.1500707          141.27674         0.18185960E-02
   2.1563717          143.34142         0.18436436E-02
   2.1626727          145.43627         0.18690357E-02
   2.1689738          147.56174         0.18947771E-02
   2.1752748          149.71827         0.19208726E-02
   2.1815758          151.90631         0.19473273E-02
   2.1878769          154.12634         0.19741461E-02
   2.1941779          156.37880         0.20013340E-02
   2.2004789          158.66419         0.20288961E-02
   2.2067799          160.98297         0.20568378E-02
   2.2130810          163.33565         0.20851642E-02
   2.2193820          165.72270         0.21138807E-02
   2.2256830          168.14464         0.21429927E-02
   2.2319841          170.60198         0.21725057E-02
   2.2382851          173.09523         0.22024253E-02
   2.2445861          175.62491         0.22327570E-02
   2.2508872          178.19157         0.22635067E-02
   2.2571882          180.79574         0.22946802E-02
   2.2634892          183.43796         0.23262832E-02
   2.2697902          186.11880         0.23583218E-02
   2.2760913          188.83882         0.23908019E-02
   2.2823923          191.59859         0.24237298E-02
   2.2886933          194.39869         0.24571116E-02
   2.2949944          197.23971         0.24909535E-02
   2.3012954          200.12226         0.25252621E-02
   2.3075964          203.04693         0.25600436E-02
   2.3138975          206.01434         0.25953047E-02
   2.3201985          209.02512         0.26310519E-02
   2.3264995          212.07990         0.26672921E-02
   2.3328005          215.17933         0.27040320E-02
   2.3391016          218.32405         0.27412784E-02
   2.3454026          221.51473         0.27790385E-02
   2.3517036          224.75203         0.28173192E-02
   2.3580047          228.03666         0.28561279E-02
   2.3643057          231.36928         0.28954716E-02
   2.3706067          234.75061         0.29353579E-02
   2.3769078          238.18135         0.29757942E-02
   2.3832088          241.66223         0.30167881E-02
   2.3895098          245.19399         0.30583473E-02
   2.3958108          248.77735         0.31004794E-02
   2.4021119          252.41309         0.31431926E-02
   2.4084129          256.10196         0.31864946E-02
   2.4147139          259.84474         0.32303936E-02
   2.4210150          263.64222         0.32748979E-02
   2.4273160          267.49520         0.33200158E-02
   2.4336170          271.40449         0.33657556E-02
   2.4399181          275.37091         0.34121260E-02
   2.4462191          279.39529         0.34591355E-02
   2.4525201          283.47849         0.35067931E-02
   2.4588211          287.62136         0.35551075E-02
   2.4651222          291.82478         0.36040879E-02
   2.4714232          296.08963         0.36537432E-02
   2.4777242          300.41681         0.37040829E-02
   2.4840253          304.80723         0.37551163E-02
   2.4903263          309.26181         0.38068529E-02
   2.4966273          313.78149         0.38593024E-02
   2.5029284          318.36723         0.39124746E-02
   2.5092294          323.01998         0.39663793E-02
   2.5155304          327.74073         0.40210266E-02
   2.5218314          332.53047         0.40764267E-02
   2.5281325          337.39021         0.41325900E-02
   2.5344335          342.32097         0.41895269E-02
   2.5407345          347.32379         0.42472479E-02
   2.5470356          352.39973         0.43057639E-02
   2.5533366          357.54984         0.43650858E-02
   2.5596376          362.77523         0.44252246E-02
   2.5659387          368.07698         0.44861915E-02
   2.5722397          373.45621         0.45479978E-02
   2.5785407          378.91405         0.46106551E-02
   2.5848417          384.45166         0.46741751E-02
   2.5911428          390.07020         0.47385695E-02
