   LOG10(FN)  FN  Calculated  |Hphase| H11, H12 ... H21, H22 ...
   2.3580047          228.03666         0.88698588         0.88678830    
   2.3643057          231.36928         0.88551182         0.88531637    
   2.3706067          234.75061         0.88401899         0.88382674    
   2.3769078          238.18135         0.88250717         0.88231920    
   2.3832088          241.66223         0.88097613         0.88079350    
   2.3895098          245.19399         0.87942564         0.87924940    
   2.3958108          248.77735         0.87785547         0.87768664    
   2.4021119          252.41309         0.87626539         0.87610496    
   2.4084129          256.10196         0.87465517         0.87450411    
   2.4147139          259.84474         0.87302458         0.87288379    
   2.4210150          263.64222         0.87137338         0.87124375    
   2.4273160          267.49520         0.86970134         0.86958368    
   2.4336170          271.40449         0.86800822         0.86790330    
   2.4399181          275.37091         0.86629378         0.86620232    
   2.4462191          279.39529         0.86455779         0.86448042    
   2.4525201          283.47849         0.86280001         0.86273731    
   2.4588211          287.62136         0.86102019         0.86097267    
   2.4651222          291.82478         0.85921811         0.85918619    
   2.4714232          296.08963         0.85739351         0.85737755    
   2.4777242          300.41681         0.85554615         0.85554642    
   2.4840253          304.80723         0.85367580         0.85369248    
   2.4903263          309.26181         0.85178222         0.85181541    
   2.4966273          313.78149         0.84986515         0.84991487    
   2.5029284          318.36723         0.84792436         0.84799053    
   2.5092294          323.01998         0.84595961         0.84604207    
   2.5155304          327.74073         0.84397066         0.84406914    
   2.5218314          332.53047         0.84195725         0.84207143    
   2.5281325          337.39021         0.83991916         0.84004861    
   2.5344335          342.32097         0.83785613         0.83800033    
   2.5407345          347.32379         0.83576793         0.83592628    
   2.5470356          352.39973         0.83365431         0.83382614    
   2.5533366          357.54984         0.83151504         0.83169958    
   2.5596376          362.77523         0.82934987         0.82954629    
   2.5659387          368.07698         0.82715857         0.82736596    
   2.5722397          373.45621         0.82494089         0.82515827    
   2.5785407          378.91405         0.82269660         0.82292293    
   2.5848417          384.45166         0.82042546         0.82065965    
   2.5911428          390.07020         0.81812724         0.81836813    
   2.5974438          395.77085         0.81580169         0.81604808    
   2.6037448          401.55481         0.81344859         0.81369925    
   2.6100459          407.42330         0.81106770         0.81132135    
   2.6163469          413.37756         0.80865879         0.80891413    
   2.6226479          419.41883         0.80622162         0.80647734    
   2.6289490          425.54839         0.80375598         0.80401074    
   2.6352500          431.76753         0.80126163         0.80151409    
   2.6415510          438.07756         0.79873835         0.79898717    
   2.6478520          444.47981         0.79618592         0.79642976    
   2.6541531          450.97563         0.79360411         0.79384167    
   2.6604541          457.56638         0.79099270         0.79122270    
   2.6667551          464.25344         0.78835147         0.78857266    
   2.6730562          471.03824         0.78568022         0.78589137    
   2.6793572          477.92219         0.78297872         0.78317868    
   2.6856582          484.90674         0.78024677         0.78043442    
   2.6919593          491.99337         0.77748416         0.77765846    
   2.6982603          499.18357         0.77469068         0.77485066    
   2.7045613          506.47885         0.77186614         0.77201089    
   2.7108623          513.88074         0.76901033         0.76913903    
   2.7171634          521.39081         0.76612306         0.76623498    
   2.7234644          529.01063         0.76320413         0.76329865    
   2.7297654          536.74182         0.76025337         0.76032993    
   2.7360665          544.58599         0.75727057         0.75732874    
   2.7423675          552.54480         0.75425557         0.75429503    
   2.7486685          560.61992         0.75120818         0.75122871    
   2.7549696          568.81305         0.74812823         0.74812972    
   2.7612706          577.12592         0.74501556         0.74499803    
   2.7675716          585.56028         0.74187000         0.74183356    
   2.7738726          594.11791         0.73869140         0.73863630    
   2.7801737          602.80059         0.73547959         0.73540620    
   2.7864747          611.61018         0.73223444         0.73214322    
   2.7927757          620.54850         0.72895580         0.72884735    
   2.7990768          629.61746         0.72564353         0.72551855    
   2.8053778          638.81895         0.72229751         0.72215681    
   2.8116788          648.15492         0.71891761         0.71876211    
   2.8179799          657.62733         0.71550371         0.71533443    
   2.8242809          667.23817         0.71205570         0.71187376    
   2.8305819          676.98947         0.70857348         0.70838009    
   2.8368829          686.88328         0.70505695         0.70485341    
   2.8431840          696.92168         0.70150602         0.70129370    
